source,target,weight,e_type
author_id,mentions,1.0,type
178121691,142454580,1.0,MENTIONS
1512402760796356600,9633802,1.0,MENTIONS
1512402760796356600,154263029,1.0,MENTIONS
1512402760796356600,64419705,1.0,MENTIONS
1599227885939630000,10228272,1.0,MENTIONS
1532395367916048400,154263029,1.0,MENTIONS
154263029,154263029,1.0,MENTIONS
154263029,260871480,1.0,MENTIONS
260871480,260871480,37.0,MENTIONS
260871480,179584524,29.0,MENTIONS
260871480,40533752,1.0,MENTIONS
260871480,154263029,3.0,MENTIONS
260871480,17813487,3.0,MENTIONS
260871480,18079284,1.0,MENTIONS
260871480,1506695708727984129,1.0,MENTIONS
260871480,197555620,1.0,MENTIONS
260871480,35013719,2.0,MENTIONS
260871480,133112225,1.0,MENTIONS
260871480,69432342,1.0,MENTIONS
260871480,24540687,1.0,MENTIONS
260871480,49849732,1.0,MENTIONS
260871480,506106288,5.0,MENTIONS
260871480,9633802,1.0,MENTIONS
260871480,1333793776599371778,1.0,MENTIONS
260871480,133945128,1.0,MENTIONS
260871480,345214995,1.0,MENTIONS
260871480,76060826,1.0,MENTIONS
260871480,2336831455,1.0,MENTIONS
260871480,312887235,1.0,MENTIONS
260871480,371797057,1.0,MENTIONS
260871480,142454580,1.0,MENTIONS
260871480,41139989,1.0,MENTIONS
260871480,971926094,1.0,MENTIONS
66809813,888979260119166976,1.0,MENTIONS
66809813,14834302,1.0,MENTIONS
252237318,350862112,1.0,MENTIONS
252237318,1115440213,1.0,MENTIONS
1400090043256017000,260871480,1.0,MENTIONS
1400090043256017000,447243782,3.0,MENTIONS
1333793776599371800,260871480,1.0,MENTIONS
100583387,142934693,2.0,MENTIONS
142934693,100583387,7.0,MENTIONS
142934693,154263029,1.0,MENTIONS
810682733198528500,167023349,1.0,MENTIONS
810682733198528500,1179614786805481472,1.0,MENTIONS
810682733198528500,260871480,3.0,MENTIONS
810682733198528500,540103636,4.0,MENTIONS
810682733198528500,93899786,1.0,MENTIONS
810682733198528500,189154821,1.0,MENTIONS
810682733198528500,47629450,1.0,MENTIONS
810682733198528500,234170204,1.0,MENTIONS
810682733198528500,1485419634,3.0,MENTIONS
810682733198528500,1089295801,2.0,MENTIONS
810682733198528500,219990061,1.0,MENTIONS
810682733198528500,371797057,2.0,MENTIONS
810682733198528500,2666898235,3.0,MENTIONS
810682733198528500,49849732,2.0,MENTIONS
810682733198528500,429363031,4.0,MENTIONS
810682733198528500,628596074,1.0,MENTIONS
810682733198528500,4210433015,1.0,MENTIONS
810682733198528500,1455928952581668880,1.0,MENTIONS
810682733198528500,481451995,1.0,MENTIONS
810682733198528500,249691735,1.0,MENTIONS
810682733198528500,143924206,1.0,MENTIONS
810682733198528500,345214995,1.0,MENTIONS
810682733198528500,110821941,1.0,MENTIONS
810682733198528500,727660070482350081,1.0,MENTIONS
810682733198528500,1358888111258935300,1.0,MENTIONS
810682733198528500,126672796,2.0,MENTIONS
810682733198528500,466868728,1.0,MENTIONS
810682733198528500,1527735655,1.0,MENTIONS
810682733198528500,1483190042,1.0,MENTIONS
810682733198528500,296304120,1.0,MENTIONS
810682733198528500,45383275,1.0,MENTIONS
810682733198528500,36276135,1.0,MENTIONS
1502315008239227000,260871480,2.0,MENTIONS
1502315008239227000,73955298,1.0,MENTIONS
1502315008239227000,366414976,1.0,MENTIONS
1502315008239227000,147034605,1.0,MENTIONS
1502315008239227000,592869404,1.0,MENTIONS
1502315008239227000,491539152,1.0,MENTIONS
3188446954,173998184,1.0,MENTIONS
1600191659559587800,113747788,1.0,MENTIONS
1600191659559587800,631180580,1.0,MENTIONS
1600191659559587800,19236074,1.0,MENTIONS
1600191659559587800,253315622,1.0,MENTIONS
1600191659559587800,91383477,1.0,MENTIONS
1600191659559587800,429363031,3.0,MENTIONS
1600191659559587800,150902859,1.0,MENTIONS
1600191659559587800,154263029,2.0,MENTIONS
1600191659559587800,203067807,1.0,MENTIONS
1600191659559587800,191465222,1.0,MENTIONS
1358791351060562000,154263029,1.0,MENTIONS
231483693,20980846,1.0,MENTIONS
231483693,20560294,1.0,MENTIONS
20980846,154263029,3.0,MENTIONS
353252094,83512809,1.0,MENTIONS
353252094,231483693,1.0,MENTIONS
353252094,20980846,1.0,MENTIONS
83512809,20560294,1.0,MENTIONS
83512809,231483693,2.0,MENTIONS
83512809,2421063638,2.0,MENTIONS
83512809,35013719,1.0,MENTIONS
83512809,154263029,1.0,MENTIONS
1458551591359942700,154263029,1.0,MENTIONS
3328599936,49849732,1.0,MENTIONS
179584524,49849732,1.0,MENTIONS
179584524,154263029,1.0,MENTIONS
179584524,312887235,1.0,MENTIONS
179584524,260871480,1.0,MENTIONS
1183456744569262000,1183456744569262080,1.0,MENTIONS
1183456744569262000,17813487,1.0,MENTIONS
3313541309,4261747325,1.0,MENTIONS
3313541309,154263029,1.0,MENTIONS
3313541309,299724078,1.0,MENTIONS
3313541309,230823610,1.0,MENTIONS
3313541309,1535391463,1.0,MENTIONS
3313541309,1021142785989242884,1.0,MENTIONS
3313541309,4656741981,1.0,MENTIONS
3313541309,2985856138,1.0,MENTIONS
3313541309,1020668670090113026,1.0,MENTIONS
3313541309,52757839,1.0,MENTIONS
3313541309,194201328,1.0,MENTIONS
551507489,126672796,2.0,MENTIONS
551507489,301540491,1.0,MENTIONS
551507489,179584524,1.0,MENTIONS
551507489,260871480,1.0,MENTIONS
301540491,126672796,2.0,MENTIONS
301540491,301540491,1.0,MENTIONS
301540491,150902859,1.0,MENTIONS
169155765,429363031,1.0,MENTIONS
169155765,203067807,1.0,MENTIONS
169155765,1016356609428217856,1.0,MENTIONS
169155765,1183874792,1.0,MENTIONS
169155765,1485419634,1.0,MENTIONS
429363031,154263029,1.0,MENTIONS
1497937221185421300,197555620,1.0,MENTIONS
1163225171358081000,741473318751109120,1.0,MENTIONS
1163225171358081000,154263029,1.0,MENTIONS
1556784464067547100,154263029,7.0,MENTIONS
1556784464067547100,1347886561011118087,2.0,MENTIONS
1556784464067547100,325851006,1.0,MENTIONS
1556784464067547100,455831037,9.0,MENTIONS
1556784464067547100,429363031,8.0,MENTIONS
1556784464067547100,1220529192032448512,2.0,MENTIONS
